trial_number,trial_time_secs,trial_time_frames,cum_trial_time_secs,cum_trial_time_frames,block_number,run_number,image_number,image_agesexcat_ref,image_agesexemocat_ref,image_number_ref,image_age,image_age_ref,image_sex,image_sex_ref,location_name,location,location_x,location_y,target_emotion,target_emotion_ref,target_id,target_fullid,target_imagename,target_pos_ref,soa_ref,soa_secs,soa_frames
1,1.75804609200114,211,1.75804609200114,211,1,1,7,1,1,1,middle,1,male,1,right,2,1313.15324777998,540,fear,1,m_m_f,middle_male_fear,007_m_m_f_a.jpg,1,1,1.00816861200065,121
2,1.24146382800081,149,2.99950992000195,360,1,1,19,2,4,3,middle,1,female,2,right,2,1313.15324777998,540,fear,1,m_f_f,middle_female_fear,019_m_f_f_a.jpg,4,1,1.00816861200065,121
3,1.34144749200087,161,4.34095741200282,521,1,1,10,4,10,1,young,2,female,2,left,1,606.846752220015,540,fear,1,y_f_f,young_female_fear,010_y_f_f_a.jpg,10,1,1.00816861200065,121
4,1.13314819200074,136,5.47410560400355,657,1,1,22,4,10,3,young,2,female,2,left,1,606.846752220015,540,fear,1,y_f_f,young_female_fear,022_y_f_f_a.jpg,10,1,1.00816861200065,121
5,1.13314819200074,136,6.60725379600429,793,1,1,25,3,7,4,young,2,male,1,left,1,606.846752220015,540,fear,1,y_m_f,young_male_fear,025_y_m_f_a.jpg,7,1,1.00816861200065,121
6,1.03316452800067,124,7.64041832400496,917,1,1,8,3,7,1,young,2,male,1,right,2,1313.15324777998,540,fear,1,y_m_f,young_male_fear,008_y_m_f_a.jpg,7,1,1.00816861200065,121
7,1.65806242800108,199,9.29848075200603,1116,1,1,14,1,1,2,middle,1,male,1,left,1,606.846752220015,540,fear,1,m_m_f,middle_male_fear,014_m_m_f_a.jpg,1,1,1.00816861200065,121
8,1.44976312800094,174,10.748243880007,1290,1,1,16,3,7,3,young,2,male,1,left,1,606.846752220015,540,fear,1,y_m_f,young_male_fear,016_y_m_f_a.jpg,7,1,1.00816861200065,121
9,1.24146382800081,149,11.9897077080078,1439,1,1,11,2,4,2,middle,1,female,2,right,2,1313.15324777998,540,fear,1,m_f_f,middle_female_fear,011_m_f_f_a.jpg,4,1,1.00816861200065,121
10,1.34144749200087,161,13.3311552000087,1600,1,1,20,4,10,2,young,2,female,2,left,1,606.846752220015,540,fear,1,y_f_f,young_female_fear,020_y_f_f_a.jpg,10,1,1.00816861200065,121
11,1.03316452800067,124,14.3643197280093,1724,1,1,35,2,4,5,middle,1,female,2,right,2,1313.15324777998,540,fear,1,m_f_f,middle_female_fear,035_m_f_f_a.jpg,4,1,1.00816861200065,121
12,1.65806242800108,199,16.0223821560104,1923,1,1,34,4,10,5,young,2,female,2,right,2,1313.15324777998,540,fear,1,y_f_f,young_female_fear,034_y_f_f_a.jpg,10,1,1.00816861200065,121
13,1.03316452800067,124,17.0555466840111,2047,1,1,32,1,1,4,middle,1,male,1,right,2,1313.15324777998,540,fear,1,m_m_f,middle_male_fear,032_m_m_f_a.jpg,1,1,1.00816861200065,121
14,1.03316452800067,124,18.0887112120117,2171,1,1,29,2,4,4,middle,1,female,2,right,2,1313.15324777998,540,fear,1,m_f_f,middle_female_fear,029_m_f_f_a.jpg,4,1,1.00816861200065,121
15,1.75804609200114,211,19.8467573040129,2382,1,1,38,1,1,5,middle,1,male,1,right,2,1313.15324777998,540,fear,1,m_m_f,middle_male_fear,038_m_m_f_a.jpg,1,1,1.00816861200065,121
16,1.65806242800108,199,21.504819732014,2581,1,1,28,4,10,4,young,2,female,2,left,1,606.846752220015,540,fear,1,y_f_f,young_female_fear,028_y_f_f_a.jpg,10,1,1.00816861200065,121
