trial_number,trial_time_secs,trial_time_frames,cum_trial_time_secs,cum_trial_time_frames,block_number,run_number,image_number,image_agesexcat_ref,image_agesexemocat_ref,image_number_ref,image_age,image_age_ref,image_sex,image_sex_ref,location_name,location,location_x,location_y,target_emotion,target_emotion_ref,target_id,target_fullid,target_imagename,target_pos_ref,mask_secs,mask_frames,mask_id,mask_fullid,mask_imagename,mask_pos_ref,soa_ref,soa_secs,soa_frames,jitter_ref,jitter_secs,jitter_frames,response_secs,response_frames
1,1.75037019779975,105,1.85039135195973,111,1,1,89,3,5,14,young,2,male,1,right,2,1480,720,fear,1,y_m_f,young_male_fear,089_y_m_f_a.jpg,7,0.100021154159986,6,y_m_n,young_male_neutral,089_y_m_n_a.jpg,9,4,0.0333403847199952,2,2,0.116691346519983,7,1.50031731239978,90
2,1.66701923599976,100,3.70078270391947,222,1,1,99,3,6,15,young,2,male,1,right,2,1480,720,happy,2,y_m_h,young_male_happy,099_y_m_h_a.jpg,8,0.100021154159986,6,y_m_n,young_male_neutral,099_y_m_n_a.jpg,9,5,0.0500105770799928,3,1,0.0166701923599976,1,1.50031731239978,90
3,2.45051827691965,147,5.86790771071916,352,1,1,51,1,1,7,middle,1,male,1,left,1,1080,720,fear,1,m_m_f,middle_male_fear,051_m_m_f_a.jpg,1,0.100021154159986,6,m_m_n,middle_male_neutral,051_m_m_n_a.jpg,3,7,0.100021154159986,6,8,0.750158656199892,45,1.50031731239978,90
4,2.05043366027971,123,8.03503271751885,482,1,1,66,3,6,11,young,2,male,1,right,2,1480,720,happy,2,y_m_h,young_male_happy,066_y_m_h_a.jpg,8,0.100021154159986,6,y_m_n,young_male_neutral,066_y_m_n_a.jpg,9,1,0.0166701923599976,1,5,0.433425001359938,26,1.50031731239978,90
5,2.0837740449997,125,10.0187856083586,601,1,1,122,2,4,20,middle,1,female,2,right,2,1480,720,happy,2,m_f_h,middle_female_happy,122_m_f_h_a.jpg,5,0.100021154159986,6,m_f_n,middle_female_neutral,122_m_f_n_a.jpg,6,10,0.250052885399964,15,3,0.233382693039966,14,1.50031731239978,90
6,1.75037019779975,105,11.7024750367183,702,1,1,82,1,1,13,middle,1,male,1,right,2,1480,720,fear,1,m_m_f,middle_male_fear,082_m_m_f_a.jpg,1,0.100021154159986,6,m_m_n,middle_male_neutral,082_m_m_n_a.jpg,3,3,0.0333403847199952,2,2,0.116691346519983,7,1.50031731239978,90
7,2.1004442373597,126,14.152993313638,849,1,1,105,3,5,16,young,2,male,1,right,2,1480,720,fear,1,y_m_f,young_male_fear,105_y_m_f_a.jpg,7,0.100021154159986,6,y_m_n,young_male_neutral,105_y_m_n_a.jpg,9,6,0.0666807694399904,4,5,0.433425001359938,26,1.50031731239978,90
8,2.18379519915969,131,16.6535221676376,999,1,1,35,2,3,5,middle,1,female,2,left,1,1080,720,fear,1,m_f_f,middle_female_fear,035_m_f_f_a.jpg,4,0.100021154159986,6,m_f_n,middle_female_neutral,035_m_f_n_a.jpg,6,5,0.0500105770799928,3,6,0.533446155519923,32,1.50031731239978,90
9,2.0671038526397,124,18.9873490980373,1139,1,1,82,1,2,13,middle,1,male,1,left,1,1080,720,happy,2,m_m_h,middle_male_happy,082_m_m_h_a.jpg,2,0.100021154159986,6,m_m_n,middle_male_neutral,082_m_m_n_a.jpg,3,3,0.0333403847199952,2,5,0.433425001359938,26,1.50031731239978,90
10,2.28381635331967,137,21.2711654513569,1276,1,1,52,2,3,8,middle,1,female,2,left,1,1080,720,fear,1,m_f_f,middle_female_fear,052_m_f_f_a.jpg,4,0.100021154159986,6,m_f_n,middle_female_neutral,052_m_f_n_a.jpg,6,8,0.150031731239978,9,6,0.533446155519923,32,1.50031731239978,90
