trial_number,trial_time_secs,trial_time_frames,cum_trial_time_secs,cum_trial_time_frames,block_number,run_number,image_number,image_agesexcat_ref,image_agesexemocat_ref,image_number_ref,image_age,image_age_ref,image_sex,image_sex_ref,image_emotion,image_emotion_ref,image_id,image_fullid,image_imagename,image_pos_ref,location_name,location,location_x,location_y,soa_ref,soa_secs,soa_frames,mask_secs,mask_frames,jitter_ref,jitter_secs,jitter_frames,response_secs,response_frames
1,1.998971712,288,1.860154232,268,1,1,026,1,1,3,middle,1,male,1,neutral,3,m_m_n,middle_male_neutral,026_m_m_n_a.jpg,3,left,1,760,540,8,0.152699228,22,0.10411311,15,3,0.235989716,34,1.506169658,217
2,1.887917728,272,4.24781488800001,612,1,1,032,1,1,4,middle,1,male,1,neutral,3,m_m_n,middle_male_neutral,032_m_m_n_a.jpg,3,right,2,1160,540,4,0.0416452440000001,6,0.10411311,15,3,0.235989716,34,1.506169658,217
3,2.332133664,336,5.92056552200001,853,1,1,007,1,1,1,middle,1,male,1,neutral,3,m_m_n,middle_male_neutral,007_m_m_n_a.jpg,3,left,1,760,540,6,0.0763496140000001,11,0.10411311,15,7,0.645501282000001,93,1.506169658,217
4,2.103084822,303,7.70437014000001,1110,1,1,019,2,2,3,middle,1,female,2,neutral,3,m_f_n,middle_female_neutral,019_m_f_n_a.jpg,6,left,1,760,540,8,0.152699228,22,0.10411311,15,4,0.340102826,49,1.506169658,217
5,2.096143948,302,10.008740308,1442,1,1,038,1,1,5,middle,1,male,1,neutral,3,m_m_n,middle_male_neutral,038_m_m_n_a.jpg,3,left,1,760,540,5,0.0485861180000001,7,0.10411311,15,5,0.437275062000001,63,1.506169658,217
6,2.387660656,344,12.340873972,1778,1,1,020,4,4,2,young,2,female,2,neutral,3,y_f_n,young_female_neutral,020_y_f_n_a.jpg,12,left,1,760,540,2,0.027763496,4,0.10411311,15,8,0.749614392000001,108,1.506169658,217
7,2.304370168,332,14.693830258,2117,1,1,038,1,1,5,middle,1,male,1,neutral,3,m_m_n,middle_male_neutral,038_m_m_n_a.jpg,3,right,2,1160,540,5,0.0485861180000001,7,0.10411311,15,7,0.645501282000001,93,1.506169658,217
8,2.387660656,344,16.69280197,2405,1,1,014,1,1,2,middle,1,male,1,neutral,3,m_m_n,middle_male_neutral,014_m_m_n_a.jpg,3,left,1,760,540,2,0.027763496,4,0.10411311,15,8,0.749614392000001,108,1.506169658,217
9,2.193316184,316,19.253984476,2774,1,1,025,3,3,4,young,2,male,1,neutral,3,y_m_n,young_male_neutral,025_y_m_n_a.jpg,9,left,1,760,540,4,0.0416452440000001,6,0.10411311,15,6,0.541388172000001,78,1.506169658,217
10,1.672750634,241,21.75963999,3135,1,1,022,4,4,3,young,2,female,2,neutral,3,y_f_n,young_female_neutral,022_y_f_n_a.jpg,12,left,1,760,540,3,0.03470437,5,0.10411311,15,1,0.027763496,4,1.506169658,217
