trial_number,trial_time_secs,trial_time_frames,cum_trial_time_secs,cum_trial_time_frames,block_number,run_number,image_number,image_agesexcat_ref,image_agesexemocat_ref,image_number_ref,image_age,image_age_ref,image_sex,image_sex_ref,image_emotion,image_emotion_ref,image_id,image_fullid,target_imagename,mask_imagename,image_pos_ref,location_name,location,location_x,location_y,soa_ref,soa_secs,soa_frames,mask_secs,mask_frames,jitter_ref,jitter_secs,jitter_frames,response_secs,response_frames
1,1.87549965000005,225,2.36729733600006,284,1,1,19,2,2,3,middle,1,female,2,neutral,3,m_f_n,middle_female_neutral,019_m_f_n_a.jpg,019_m_f_n_b.jpg,6,left,1,616.443307866211,540,8,0.150039972000004,18,0.100026648000003,12,2,0.125033310000003,15,1.50039972000004,180
2,2.03387517600006,244,4.22612587800012,507,1,1,28,4,4,4,young,2,female,2,neutral,3,y_f_n,young_female_neutral,028_y_f_n_a.jpg,028_y_f_n_b.jpg,12,left,1,616.443307866211,540,9,0.200053296000005,24,0.100026648000003,12,3,0.233395512000006,28,1.50039972000004,180
3,2.08388850000006,250,6.51006767400018,781,1,1,38,1,1,5,middle,1,male,1,neutral,3,m_m_n,middle_male_neutral,038_m_m_n_a.jpg,038_m_m_n_b.jpg,3,left,1,616.443307866211,540,10,0.250066620000007,30,0.100026648000003,12,3,0.233395512000006,28,1.50039972000004,180
4,2.13390182400006,256,8.48559397200023,1018,1,1,32,1,1,4,middle,1,male,1,neutral,3,m_m_n,middle_male_neutral,032_m_m_n_a.jpg,032_m_m_n_b.jpg,3,left,1,616.443307866211,540,9,0.200053296000005,24,0.100026648000003,12,4,0.333422160000009,40,1.50039972000004,180
5,1.65877524600005,199,10.1610403260003,1219,1,1,16,3,3,3,young,2,male,1,neutral,3,y_m_n,young_male_neutral,016_y_m_n_a.jpg,016_y_m_n_b.jpg,9,right,2,1303.55669213379,540,3,0.0333422160000009,4,0.100026648000003,12,1,0.0250066620000007,3,1.50039972000004,180
6,2.18391514800006,262,12.0698821920003,1448,1,1,25,3,3,4,young,2,male,1,neutral,3,y_m_n,young_male_neutral,025_y_m_n_a.jpg,025_y_m_n_b.jpg,9,left,1,616.443307866211,540,4,0.0416777700000011,5,0.100026648000003,12,6,0.541811010000015,65,1.50039972000004,180
7,2.05888183800006,247,13.7953418700004,1655,1,1,7,1,1,1,middle,1,male,1,neutral,3,m_m_n,middle_male_neutral,007_m_m_n_a.jpg,007_m_m_n_b.jpg,3,right,2,1303.55669213379,540,1,0.0166711080000005,2,0.100026648000003,12,5,0.441784362000012,53,1.50039972000004,180
8,1.82548632600005,219,15.8792303700004,1905,1,1,13,3,3,2,young,2,male,1,neutral,3,y_m_n,young_male_neutral,013_y_m_n_a.jpg,013_y_m_n_b.jpg,9,right,2,1303.55669213379,540,7,0.100026648000003,12,0.100026648000003,12,2,0.125033310000003,15,1.50039972000004,180
9,2.50066620000007,300,18.0131321940005,2161,1,1,22,4,4,3,young,2,female,2,neutral,3,y_f_n,young_female_neutral,022_y_f_n_a.jpg,022_y_f_n_b.jpg,12,left,1,616.443307866211,540,8,0.150039972000004,18,0.100026648000003,12,8,0.750199860000021,90,1.50039972000004,180
10,2.19225070200006,263,20.0970206940006,2411,1,1,34,4,4,5,young,2,female,2,neutral,3,y_f_n,young_female_neutral,034_y_f_n_a.jpg,034_y_f_n_b.jpg,12,left,1,616.443307866211,540,5,0.0500133240000014,6,0.100026648000003,12,6,0.541811010000015,65,1.50039972000004,180
