trial_number,trial_time_secs,trial_time_frames,cum_trial_time_secs,cum_trial_time_frames,block_number,run_number,image_number,image_agesexcat_ref,image_agesexemocat_ref,image_number_ref,image_age,image_age_ref,image_sex,image_sex_ref,image_emotion,image_emotion_ref,image_id,image_fullid,image_imagename,image_pos_ref,location_name,location,location_x,location_y,soa_ref,soa_secs,soa_frames,mask_secs,mask_frames,jitter_ref,jitter_secs,jitter_frames,response_secs,response_frames
1,2.20459044399999,133,2.38692499199999,144,1,1,038,1,1,5,middle,1,male,1,neutral,3,m_m_n,middle_male_neutral,038_m_m_n_a.jpg,3,right,2,1160,540,10,0.248638019999998,15,0.116031075999999,7,4,0.331517359999998,20,1.50840398799999,91
2,1.98910415999999,120,4.79042585199997,289,1,1,020,4,4,2,young,2,female,2,neutral,3,y_f_n,young_female_neutral,020_y_f_n_a.jpg,12,left,1,760,540,2,0.0331517359999998,2,0.116031075999999,7,4,0.331517359999998,20,1.50840398799999,91
3,2.38692499199999,144,7.19392671199996,434,1,1,010,4,4,1,young,2,female,2,neutral,3,y_f_n,young_female_neutral,010_y_f_n_a.jpg,12,left,1,760,540,1,0.0165758679999999,1,0.116031075999999,7,8,0.745914059999995,45,1.50840398799999,91
4,2.51953193599998,152,8.90124111599995,537,1,1,031,3,3,5,young,2,male,1,neutral,3,y_m_n,young_male_neutral,031_y_m_n_a.jpg,9,left,1,760,540,10,0.248638019999998,15,0.116031075999999,7,7,0.646458851999996,39,1.50840398799999,91
5,2.45322846399999,148,10.8074659359999,652,1,1,006,2,2,1,middle,1,female,2,neutral,3,m_f_n,middle_female_neutral,006_m_f_n_a.jpg,6,left,1,760,540,6,0.0828793399999995,5,0.116031075999999,7,8,0.745914059999995,45,1.50840398799999,91
6,2.46980433199999,149,13.1612391919999,794,1,1,020,4,4,2,young,2,female,2,neutral,3,y_f_n,young_female_neutral,020_y_f_n_a.jpg,12,right,2,1160,540,7,0.0994552079999994,6,0.116031075999999,7,8,0.745914059999995,45,1.50840398799999,91
7,2.27089391599999,137,15.2166468239999,918,1,1,032,1,1,4,middle,1,male,1,neutral,3,m_m_n,middle_male_neutral,032_m_m_n_a.jpg,3,left,1,760,540,9,0.198910415999999,12,0.116031075999999,7,5,0.447548435999997,27,1.50840398799999,91
8,2.32062151999999,140,17.2223268519999,1039,1,1,016,3,3,3,young,2,male,1,neutral,3,y_m_n,young_male_neutral,016_y_m_n_a.jpg,9,right,2,1160,540,8,0.149182811999999,9,0.116031075999999,7,6,0.547003643999997,33,1.50840398799999,91
9,1.90622481999999,115,19.1782792759999,1157,1,1,022,4,4,3,young,2,female,2,neutral,3,y_f_n,young_female_neutral,022_y_f_n_a.jpg,12,right,2,1160,540,8,0.149182811999999,9,0.116031075999999,7,2,0.132606943999999,8,1.50840398799999,91
10,1.87307308399999,113,21.5983560039999,1303,1,1,006,2,2,1,middle,1,female,2,neutral,3,m_f_n,middle_female_neutral,006_m_f_n_a.jpg,6,left,1,760,540,1,0.0165758679999999,1,0.116031075999999,7,3,0.232062151999999,14,1.50840398799999,91
11,1.80676961199999,109,23.2725186719999,1404,2,1,026,1,1,3,middle,1,male,1,neutral,3,m_m_n,middle_male_neutral,026_m_m_n_a.jpg,3,left,1,760,540,8,0.149182811999999,9,0.116031075999999,7,1,0.0331517359999998,2,1.50840398799999,91
12,2.35377325599999,142,24.9632572079998,1506,2,1,010,4,4,1,young,2,female,2,neutral,3,y_f_n,young_female_neutral,010_y_f_n_a.jpg,12,right,2,1160,540,6,0.0828793399999995,5,0.116031075999999,7,7,0.646458851999996,39,1.50840398799999,91
13,1.70731440399999,103,26.9523613679998,1626,2,1,032,1,1,4,middle,1,male,1,neutral,3,m_m_n,middle_male_neutral,032_m_m_n_a.jpg,3,left,1,760,540,4,0.0497276039999997,3,0.116031075999999,7,1,0.0331517359999998,2,1.50840398799999,91
14,2.00568002799999,121,28.7591309799998,1735,2,1,019,2,2,3,middle,1,female,2,neutral,3,m_f_n,middle_female_neutral,019_m_f_n_a.jpg,6,left,1,760,540,8,0.149182811999999,9,0.116031075999999,7,3,0.232062151999999,14,1.50840398799999,91
15,2.18801457599999,132,30.5659005919998,1844,2,1,008,3,3,1,young,2,male,1,neutral,3,y_m_n,young_male_neutral,008_y_m_n_a.jpg,9,right,2,1160,540,1,0.0165758679999999,1,0.116031075999999,7,6,0.547003643999997,33,1.50840398799999,91
16,1.80676961199999,109,32.6047323559998,1967,2,1,038,1,1,5,middle,1,male,1,neutral,3,m_m_n,middle_male_neutral,038_m_m_n_a.jpg,3,left,1,760,540,5,0.0497276039999997,3,0.116031075999999,7,2,0.132606943999999,8,1.50840398799999,91
17,2.32062151999999,140,34.7761710639998,2098,2,1,031,3,3,5,young,2,male,1,neutral,3,y_m_n,young_male_neutral,031_y_m_n_a.jpg,9,left,1,760,540,5,0.0497276039999997,3,0.116031075999999,7,7,0.646458851999996,39,1.50840398799999,91
18,2.12171110399999,128,36.5829406759998,2207,2,1,028,4,4,4,young,2,female,2,neutral,3,y_f_n,young_female_neutral,028_y_f_n_a.jpg,12,right,2,1160,540,4,0.0497276039999997,3,0.116031075999999,7,5,0.447548435999997,27,1.50840398799999,91
19,2.18801457599999,132,38.8538345919998,2344,2,1,008,3,3,1,young,2,male,1,neutral,3,y_m_n,young_male_neutral,008_y_m_n_a.jpg,9,right,2,1160,540,1,0.0165758679999999,1,0.116031075999999,7,6,0.547003643999997,33,1.50840398799999,91
20,2.15486283999999,130,41.0584250359998,2477,2,1,008,3,3,1,young,2,male,1,neutral,3,y_m_n,young_male_neutral,008_y_m_n_a.jpg,9,right,2,1160,540,6,0.0828793399999995,5,0.116031075999999,7,5,0.447548435999997,27,1.50840398799999,91
21,2.10513523599999,127,42.9314981199998,2590,3,2,022,4,4,3,young,2,female,2,neutral,3,y_f_n,young_female_neutral,022_y_f_n_a.jpg,12,right,2,1160,540,3,0.0331517359999998,2,0.116031075999999,7,5,0.447548435999997,27,1.50840398799999,91
22,2.17143870799999,131,44.6222366559997,2692,3,2,014,1,1,2,middle,1,male,1,neutral,3,m_m_n,middle_male_neutral,014_m_m_n_a.jpg,3,right,2,1160,540,7,0.0994552079999994,6,0.116031075999999,7,5,0.447548435999997,27,1.50840398799999,91
23,1.98910415999999,120,47.0257375159997,2837,3,2,016,3,3,3,young,2,male,1,neutral,3,y_m_n,young_male_neutral,016_y_m_n_a.jpg,9,right,2,1160,540,3,0.0331517359999998,2,0.116031075999999,7,4,0.331517359999998,20,1.50840398799999,91
24,1.95595242399999,118,49.2469038279997,2971,3,2,032,1,1,4,middle,1,male,1,neutral,3,m_m_n,middle_male_neutral,032_m_m_n_a.jpg,3,right,2,1160,540,9,0.198910415999999,12,0.116031075999999,7,2,0.132606943999999,8,1.50840398799999,91
25,2.12171110399999,128,51.4680701399997,3105,3,2,031,3,3,5,young,2,male,1,neutral,3,y_m_n,young_male_neutral,031_y_m_n_a.jpg,9,right,2,1160,540,5,0.0497276039999997,3,0.116031075999999,7,5,0.447548435999997,27,1.50840398799999,91
26,2.46980433199999,149,53.8218433959997,3247,3,2,028,4,4,4,young,2,female,2,neutral,3,y_f_n,young_female_neutral,028_y_f_n_a.jpg,12,right,2,1160,540,9,0.198910415999999,12,0.116031075999999,7,7,0.646458851999996,39,1.50840398799999,91
27,1.90622481999999,115,56.0927373119997,3384,3,2,034,4,4,5,young,2,female,2,neutral,3,y_f_n,young_female_neutral,034_y_f_n_a.jpg,12,left,1,760,540,5,0.0497276039999997,3,0.116031075999999,7,3,0.232062151999999,14,1.50840398799999,91
28,2.10513523599999,127,58.0984173399997,3505,3,2,035,2,2,5,middle,1,female,2,neutral,3,m_f_n,middle_female_neutral,035_m_f_n_a.jpg,6,left,1,760,540,10,0.248638019999998,15,0.116031075999999,7,3,0.232062151999999,14,1.50840398799999,91
29,1.69073853599999,102,60.4687664639996,3648,3,2,011,2,2,2,middle,1,female,2,neutral,3,m_f_n,middle_female_neutral,011_m_f_n_a.jpg,6,right,2,1160,540,2,0.0331517359999998,2,0.116031075999999,7,1,0.0331517359999998,2,1.50840398799999,91
30,2.46980433199999,149,62.3749912839996,3763,3,2,013,3,3,2,young,2,male,1,neutral,3,y_m_n,young_male_neutral,013_y_m_n_a.jpg,9,left,1,760,540,7,0.0994552079999994,6,0.116031075999999,7,8,0.745914059999995,45,1.50840398799999,91
31,2.30404565199999,139,64.6624610679996,3901,4,2,022,4,4,3,young,2,female,2,neutral,3,y_f_n,young_female_neutral,022_y_f_n_a.jpg,12,left,1,760,540,3,0.0331517359999998,2,0.116031075999999,7,7,0.646458851999996,39,1.50840398799999,91
