trial_number,trial_time_secs,trial_time_frames,cum_trial_time_secs,cum_trial_time_frames,block_number,run_number,image_number,image_agesexcat_ref,image_agesexemocat_ref,image_number_ref,image_age,image_age_ref,image_sex,image_sex_ref,location_name,location,location_x,location_y,target_emotion,target_emotion_ref,target_id,target_fullid,target_imagename,target_pos_ref,mask_secs,mask_frames,mask_id,mask_fullid,mask_imagename,mask_pos_ref,soa_ref,soa_secs,soa_frames,jitter_ref,jitter_secs,jitter_frames,response_secs,response_frames
1,2.09950524000364,252,2.09950524000364,252,1,1,54,4,7,8,young,2,female,2,right,2,1303.55669213379,540,fear,1,y_f_f,young_female_fear,054_y_f_f_a.jpg,10,0.108307810000188,13,y_f_n,young_female_neutral,054_y_f_n_a.jpg,12,8,0.14996466000026,18,4,0.333254800000577,40,1.50797797000261,181
2,2.17448757000377,261,4.2739928100074,513,1,1,71,4,7,11,young,2,female,2,left,1,616.443307866211,540,fear,1,y_f_f,young_female_fear,071_y_f_f_a.jpg,10,0.108307810000188,13,y_f_n,young_female_neutral,071_y_f_n_a.jpg,12,1,0.0166627400000289,2,6,0.541539050000938,65,1.50797797000261,181
3,1.87455825000325,225,6.14855106001065,738,1,1,77,1,2,12,middle,1,male,1,left,1,616.443307866211,540,happy,2,m_m_h,middle_male_happy,077_m_m_h_a.jpg,2,0.108307810000188,13,m_m_n,middle_male_neutral,077_m_m_n_a.jpg,3,2,0.0249941100000433,3,3,0.233278360000404,28,1.50797797000261,181
4,2.61605018000453,314,8.76460124001518,1052,1,1,68,1,1,10,middle,1,male,1,right,2,1303.55669213379,540,fear,1,m_m_f,middle_male_fear,068_m_m_f_a.jpg,1,0.108307810000188,13,m_m_n,middle_male_neutral,068_m_m_n_a.jpg,3,10,0.249941100000433,30,8,0.749823300001299,90,1.50797797000261,181
5,1.86622688000323,224,10.6308281200184,1276,1,1,7,1,1,1,middle,1,male,1,left,1,616.443307866211,540,fear,1,m_m_f,middle_male_fear,007_m_m_f_a.jpg,1,0.108307810000188,13,m_m_n,middle_male_neutral,007_m_m_n_a.jpg,3,1,0.0166627400000289,2,3,0.233278360000404,28,1.50797797000261,181
6,1.7912445500031,215,12.4220726700215,1491,1,1,108,1,2,18,middle,1,male,1,left,1,616.443307866211,540,happy,2,m_m_h,middle_male_happy,108_m_m_h_a.jpg,2,0.108307810000188,13,m_m_n,middle_male_neutral,108_m_m_n_a.jpg,3,8,0.14996466000026,18,1,0.0249941100000433,3,1.50797797000261,181
7,1.71626222000297,206,14.1383348900245,1697,1,1,45,1,2,6,middle,1,male,1,left,1,616.443307866211,540,happy,2,m_m_h,middle_male_happy,045_m_m_h_a.jpg,2,0.108307810000188,13,m_m_n,middle_male_neutral,045_m_m_n_a.jpg,3,6,0.0749823300001299,9,1,0.0249941100000433,3,1.50797797000261,181
8,1.65794263000287,199,15.7962775200274,1896,1,1,66,3,6,11,young,2,male,1,left,1,616.443307866211,540,happy,2,y_m_h,young_male_happy,066_y_m_h_a.jpg,8,0.108307810000188,13,y_m_n,young_male_neutral,066_y_m_n_a.jpg,9,1,0.0166627400000289,2,1,0.0249941100000433,3,1.50797797000261,181
9,1.88288962000326,226,17.6791671400306,2122,1,1,82,1,1,13,middle,1,male,1,left,1,616.443307866211,540,fear,1,m_m_f,middle_male_fear,082_m_m_f_a.jpg,1,0.108307810000188,13,m_m_n,middle_male_neutral,082_m_m_n_a.jpg,3,3,0.0333254800000577,4,3,0.233278360000404,28,1.50797797000261,181
10,2.307789490004,277,19.9869566300346,2399,1,1,25,3,5,4,young,2,male,1,left,1,616.443307866211,540,fear,1,y_m_f,young_male_fear,025_y_m_f_a.jpg,7,0.108307810000188,13,y_m_n,young_male_neutral,025_y_m_n_a.jpg,9,4,0.0416568500000722,5,7,0.649846860001126,78,1.50797797000261,181
11,2.07451113000359,249,22.0614677600382,2648,1,1,66,3,6,11,young,2,male,1,left,1,616.443307866211,540,happy,2,y_m_h,young_male_happy,066_y_m_h_a.jpg,8,0.108307810000188,13,y_m_n,young_male_neutral,066_y_m_n_a.jpg,9,1,0.0166627400000289,2,5,0.441562610000765,53,1.50797797000261,181
12,2.09950524000364,252,24.1609730000418,2900,1,1,32,1,2,4,middle,1,male,1,right,2,1303.55669213379,540,happy,2,m_m_h,middle_male_happy,032_m_m_h_a.jpg,2,0.108307810000188,13,m_m_n,middle_male_neutral,032_m_m_n_a.jpg,3,4,0.0416568500000722,5,5,0.441562610000765,53,1.50797797000261,181
