trial_number,trial_time_secs,trial_time_frames,cum_trial_time_secs,cum_trial_time_frames,block_number,run_number,image_number,image_agesexcat_ref,image_agesexemocat_ref,image_number_ref,image_age,image_age_ref,image_sex,image_sex_ref,location_name,location,location_x,location_y,target_emotion,target_emotion_ref,target_id,target_fullid,target_imagename,target_pos_ref,mask_secs,mask_frames,mask_id,mask_fullid,mask_imagename,mask_pos_ref,soa_ref,soa_secs,soa_frames,jitter_ref,jitter_secs,jitter_frames,response_secs,response_frames
1,2.30404565199999,139,2.08855936799999,126,1,1,26,1,1,3,middle,1,male,1,left,1,760,540,fear,1,m_m_f,middle_male_fear,026_m_m_f_a.jpg,1,0.116031075999999,7,m_m_n,middle_male_neutral,026_m_m_n_a.jpg,3,3,0.0331517359999998,2,7,0.646458851999996,39,1.50840398799999,91
2,2.32062151999999,140,3.97820831999998,240,1,1,114,3,6,18,young,2,male,1,left,1,760,540,happy,2,y_m_h,young_male_happy,114_y_m_h_a.jpg,8,0.116031075999999,7,y_m_n,young_male_neutral,114_y_m_n_a.jpg,9,8,0.149182811999999,9,6,0.547003643999997,33,1.50840398799999,91
3,2.40350085999999,145,6.28225397199996,379,1,1,19,2,3,3,middle,1,female,2,left,1,760,540,fear,1,m_f_f,middle_female_fear,019_m_f_f_a.jpg,4,0.116031075999999,7,m_f_n,middle_female_neutral,019_m_f_n_a.jpg,6,3,0.0331517359999998,2,8,0.745914059999995,45,1.50840398799999,91
4,2.15486283999999,130,8.40396507599995,507,1,1,119,3,6,19,young,2,male,1,right,2,1160,540,happy,2,y_m_h,young_male_happy,119_y_m_h_a.jpg,8,0.116031075999999,7,y_m_n,young_male_neutral,119_y_m_n_a.jpg,9,9,0.198910415999999,12,4,0.331517359999998,20,1.50840398799999,91
5,1.98910415999999,120,10.6251313879999,641,1,1,80,2,4,12,middle,1,female,2,right,2,1160,540,happy,2,m_f_h,middle_female_happy,080_m_f_h_a.jpg,5,0.116031075999999,7,m_f_n,middle_female_neutral,080_m_f_n_a.jpg,6,2,0.0331517359999998,2,4,0.331517359999998,20,1.50840398799999,91
6,2.38692499199999,144,12.5645079439999,758,1,1,73,2,4,11,middle,1,female,2,left,1,760,540,happy,2,m_f_h,middle_female_happy,073_m_f_h_a.jpg,5,0.116031075999999,7,m_f_n,middle_female_neutral,073_m_f_n_a.jpg,6,1,0.0165758679999999,1,8,0.745914059999995,45,1.50840398799999,91
7,1.69073853599999,102,15.0343122759999,907,1,1,82,1,1,13,middle,1,male,1,right,2,1160,540,fear,1,m_m_f,middle_male_fear,082_m_m_f_a.jpg,1,0.116031075999999,7,m_m_n,middle_male_neutral,082_m_m_n_a.jpg,3,3,0.0331517359999998,2,1,0.0331517359999998,2,1.50840398799999,91
8,1.90622481999999,115,17.0399923039999,1028,1,1,87,1,1,14,middle,1,male,1,left,1,760,540,fear,1,m_m_f,middle_male_fear,087_m_m_f_a.jpg,1,0.116031075999999,7,m_m_n,middle_male_neutral,087_m_m_n_a.jpg,3,4,0.0497276039999997,3,3,0.232062151999999,14,1.50840398799999,91
9,1.69073853599999,102,19.5097966359999,1177,1,1,26,1,1,3,middle,1,male,1,right,2,1160,540,fear,1,m_m_f,middle_male_fear,026_m_m_f_a.jpg,1,0.116031075999999,7,m_m_n,middle_male_neutral,026_m_m_n_a.jpg,3,3,0.0331517359999998,2,1,0.0331517359999998,2,1.50840398799999,91
10,2.32062151999999,140,21.8304181559999,1317,1,1,114,3,5,18,young,2,male,1,left,1,760,540,fear,1,y_m_f,young_male_fear,114_y_m_f_a.jpg,7,0.116031075999999,7,y_m_n,young_male_neutral,114_y_m_n_a.jpg,9,8,0.149182811999999,9,6,0.547003643999997,33,1.50840398799999,91
11,1.90622481999999,115,24.1178879399999,1455,1,1,68,1,2,10,middle,1,male,1,left,1,760,540,happy,2,m_m_h,middle_male_happy,068_m_m_h_a.jpg,2,0.116031075999999,7,m_m_n,middle_male_neutral,068_m_m_n_a.jpg,3,10,0.248638019999998,15,1,0.0331517359999998,2,1.50840398799999,91
12,2.12171110399999,128,25.9080816839998,1563,1,1,34,4,7,5,young,2,female,2,right,2,1160,540,fear,1,y_f_f,young_female_fear,034_y_f_f_a.jpg,10,0.116031075999999,7,y_f_n,young_female_neutral,034_y_f_n_a.jpg,12,5,0.0497276039999997,3,5,0.447548435999997,27,1.50840398799999,91
13,1.69073853599999,102,27.5988202199998,1665,1,1,85,4,7,12,young,2,female,2,left,1,760,540,fear,1,y_f_f,young_female_fear,085_y_f_f_a.jpg,10,0.116031075999999,7,y_f_n,young_female_neutral,085_y_f_n_a.jpg,12,2,0.0331517359999998,2,1,0.0331517359999998,2,1.50840398799999,91
14,1.80676961199999,109,29.5050450399998,1780,1,1,34,4,8,5,young,2,female,2,left,1,760,540,happy,2,y_f_h,young_female_happy,034_y_f_h_a.jpg,11,0.116031075999999,7,y_f_n,young_female_neutral,034_y_f_n_a.jpg,12,5,0.0497276039999997,3,2,0.132606943999999,8,1.50840398799999,91
15,1.75704200799999,106,31.9251217679998,1926,1,1,50,2,4,7,middle,1,female,2,left,1,760,540,happy,2,m_f_h,middle_female_happy,050_m_f_h_a.jpg,5,0.116031075999999,7,m_f_n,middle_female_neutral,050_m_f_n_a.jpg,6,7,0.0994552079999994,6,1,0.0331517359999998,2,1.50840398799999,91
16,1.74046613999999,105,34.3783502319998,2074,1,1,94,1,2,16,middle,1,male,1,left,1,760,540,happy,2,m_m_h,middle_male_happy,094_m_m_h_a.jpg,2,0.116031075999999,7,m_m_n,middle_male_neutral,094_m_m_n_a.jpg,3,6,0.0828793399999995,5,1,0.0331517359999998,2,1.50840398799999,91
17,2.27089391599999,137,36.1353922399998,2180,1,1,116,1,2,19,middle,1,male,1,left,1,760,540,happy,2,m_m_h,middle_male_happy,116_m_m_h_a.jpg,2,0.116031075999999,7,m_m_n,middle_male_neutral,116_m_m_n_a.jpg,3,9,0.198910415999999,12,5,0.447548435999997,27,1.50840398799999,91
18,2.17143870799999,131,38.6549241759998,2332,1,1,111,2,4,17,middle,1,female,2,left,1,760,540,happy,2,m_f_h,middle_female_happy,111_m_f_h_a.jpg,5,0.116031075999999,7,m_f_n,middle_female_neutral,111_m_f_n_a.jpg,6,7,0.0994552079999994,6,5,0.447548435999997,27,1.50840398799999,91
19,2.15486283999999,130,40.9258180919998,2469,1,1,105,3,6,16,young,2,male,1,left,1,760,540,happy,2,y_m_h,young_male_happy,105_y_m_h_a.jpg,8,0.116031075999999,7,y_m_n,young_male_neutral,105_y_m_n_a.jpg,9,6,0.0828793399999995,5,5,0.447548435999997,27,1.50840398799999,91
20,2.08855936799999,126,43.5448052359997,2627,1,1,6,2,3,1,middle,1,female,2,left,1,760,540,fear,1,m_f_f,middle_female_fear,006_m_f_f_a.jpg,4,0.116031075999999,7,m_f_n,middle_female_neutral,006_m_f_n_a.jpg,6,1,0.0165758679999999,1,5,0.447548435999997,27,1.50840398799999,91
21,1.87307308399999,113,45.4178783199997,2740,1,1,6,2,4,1,middle,1,female,2,left,1,760,540,happy,2,m_f_h,middle_female_happy,006_m_f_h_a.jpg,5,0.116031075999999,7,m_f_n,middle_female_neutral,006_m_f_n_a.jpg,6,1,0.0165758679999999,1,3,0.232062151999999,14,1.50840398799999,91
22,2.18801457599999,132,47.4069824799997,2860,1,1,8,3,6,1,young,2,male,1,left,1,760,540,happy,2,y_m_h,young_male_happy,008_y_m_h_a.jpg,8,0.116031075999999,7,y_m_n,young_male_neutral,008_y_m_n_a.jpg,9,1,0.0165758679999999,1,6,0.547003643999997,33,1.50840398799999,91
23,2.46980433199999,149,49.0977210159997,2962,1,1,63,4,8,9,young,2,female,2,right,2,1160,540,happy,2,y_f_h,young_female_happy,063_y_f_h_a.jpg,11,0.116031075999999,7,y_f_n,young_female_neutral,063_y_f_n_a.jpg,12,9,0.198910415999999,12,7,0.646458851999996,39,1.50840398799999,91
24,2.20459044399999,133,51.5177977439997,3108,1,1,14,1,2,2,middle,1,male,1,right,2,1160,540,happy,2,m_m_h,middle_male_happy,014_m_m_h_a.jpg,2,0.116031075999999,7,m_m_n,middle_male_neutral,014_m_m_n_a.jpg,3,2,0.0331517359999998,2,6,0.547003643999997,33,1.50840398799999,91
25,2.15486283999999,130,53.3245673559997,3217,1,1,105,3,6,16,young,2,male,1,left,1,760,540,happy,2,y_m_h,young_male_happy,105_y_m_h_a.jpg,8,0.116031075999999,7,y_m_n,young_male_neutral,105_y_m_n_a.jpg,9,6,0.0828793399999995,5,5,0.447548435999997,27,1.50840398799999,91
26,2.08855936799999,126,55.0650334959997,3322,1,1,66,3,5,11,young,2,male,1,right,2,1160,540,fear,1,y_m_f,young_male_fear,066_y_m_f_a.jpg,7,0.116031075999999,7,y_m_n,young_male_neutral,066_y_m_n_a.jpg,9,1,0.0165758679999999,1,5,0.447548435999997,27,1.50840398799999,91
27,2.00568002799999,121,56.8220755039997,3428,1,1,64,2,4,10,middle,1,female,2,left,1,760,540,happy,2,m_f_h,middle_female_happy,064_m_f_h_a.jpg,5,0.116031075999999,7,m_f_n,middle_female_neutral,064_m_f_n_a.jpg,6,10,0.248638019999998,15,2,0.132606943999999,8,1.50840398799999,91
28,2.27089391599999,137,59.2421522319996,3574,1,1,115,4,7,17,young,2,female,2,right,2,1160,540,fear,1,y_f_f,young_female_fear,115_y_f_f_a.jpg,10,0.116031075999999,7,y_f_n,young_female_neutral,115_y_f_n_a.jpg,12,7,0.0994552079999994,6,6,0.547003643999997,33,1.50840398799999,91
29,2.40350085999999,145,61.6125013559996,3717,1,1,84,2,3,13,middle,1,female,2,left,1,760,540,fear,1,m_f_f,middle_female_fear,084_m_f_f_a.jpg,4,0.116031075999999,7,m_f_n,middle_female_neutral,084_m_f_n_a.jpg,6,3,0.0331517359999998,2,8,0.745914059999995,45,1.50840398799999,91
30,2.35377325599999,142,64.1320332919996,3869,1,1,45,1,2,6,middle,1,male,1,right,2,1160,540,happy,2,m_m_h,middle_male_happy,045_m_m_h_a.jpg,2,0.116031075999999,7,m_m_n,middle_male_neutral,045_m_m_n_a.jpg,3,6,0.0828793399999995,5,7,0.646458851999996,39,1.50840398799999,91
31,1.95595242399999,118,65.8061959599996,3970,1,1,119,3,5,19,young,2,male,1,left,1,760,540,fear,1,y_m_f,young_male_fear,119_y_m_f_a.jpg,7,0.116031075999999,7,y_m_n,young_male_neutral,119_y_m_n_a.jpg,9,9,0.198910415999999,12,2,0.132606943999999,8,1.50840398799999,91
32,2.32062151999999,140,68.0107864039996,4103,1,1,99,3,5,15,young,2,male,1,right,2,1160,540,fear,1,y_m_f,young_male_fear,099_y_m_f_a.jpg,7,0.116031075999999,7,y_m_n,young_male_neutral,099_y_m_n_a.jpg,9,5,0.0497276039999997,3,7,0.646458851999996,39,1.50840398799999,91
33,1.69073853599999,102,69.9004353559996,4217,1,1,84,2,3,13,middle,1,female,2,left,1,760,540,fear,1,m_f_f,middle_female_fear,084_m_f_f_a.jpg,4,0.116031075999999,7,m_f_n,middle_female_neutral,084_m_f_n_a.jpg,6,3,0.0331517359999998,2,1,0.0331517359999998,2,1.50840398799999,91
34,2.10513523599999,127,72.2210568759996,4357,1,1,54,4,7,8,young,2,female,2,left,1,760,540,fear,1,y_f_f,young_female_fear,054_y_f_f_a.jpg,10,0.116031075999999,7,y_f_n,young_female_neutral,054_y_f_n_a.jpg,12,8,0.149182811999999,9,4,0.331517359999998,20,1.50840398799999,91
35,2.32062151999999,140,74.3427679799996,4485,1,1,134,4,8,20,young,2,female,2,right,2,1160,540,happy,2,y_f_h,young_female_happy,134_y_f_h_a.jpg,11,0.116031075999999,7,y_f_n,young_female_neutral,134_y_f_n_a.jpg,12,10,0.248638019999998,15,5,0.447548435999997,27,1.50840398799999,91
36,2.38692499199999,144,76.6965412359995,4627,1,1,71,4,8,11,young,2,female,2,left,1,760,540,happy,2,y_f_h,young_female_happy,071_y_f_h_a.jpg,11,0.116031075999999,7,y_f_n,young_female_neutral,071_y_f_n_a.jpg,12,1,0.0165758679999999,1,8,0.745914059999995,45,1.50840398799999,91
37,1.88964895199999,114,78.7519488679995,4751,1,1,82,1,1,13,middle,1,male,1,right,2,1160,540,fear,1,m_m_f,middle_male_fear,082_m_m_f_a.jpg,1,0.116031075999999,7,m_m_n,middle_male_neutral,082_m_m_n_a.jpg,3,3,0.0331517359999998,2,3,0.232062151999999,14,1.50840398799999,91
38,2.00568002799999,121,80.8570841039995,4878,1,1,32,1,2,4,middle,1,male,1,right,2,1160,540,happy,2,m_m_h,middle_male_happy,032_m_m_h_a.jpg,2,0.116031075999999,7,m_m_n,middle_male_neutral,032_m_m_n_a.jpg,3,4,0.0497276039999997,3,4,0.331517359999998,20,1.50840398799999,91
39,2.12171110399999,128,83.2274332279995,5021,1,1,32,1,1,4,middle,1,male,1,right,2,1160,540,fear,1,m_m_f,middle_male_fear,032_m_m_f_a.jpg,1,0.116031075999999,7,m_m_n,middle_male_neutral,032_m_m_n_a.jpg,3,4,0.0497276039999997,3,5,0.447548435999997,27,1.50840398799999,91
40,2.12171110399999,128,85.5480547479995,5161,1,1,31,3,5,5,young,2,male,1,right,2,1160,540,fear,1,y_m_f,young_male_fear,031_y_m_f_a.jpg,7,0.116031075999999,7,y_m_n,young_male_neutral,031_y_m_n_a.jpg,9,5,0.0497276039999997,3,5,0.447548435999997,27,1.50840398799999,91
41,2.42007672799999,146,87.2222174159995,5262,2,1,56,1,1,8,middle,1,male,1,left,1,760,540,fear,1,m_m_f,middle_male_fear,056_m_m_f_a.jpg,1,0.116031075999999,7,m_m_n,middle_male_neutral,056_m_m_n_a.jpg,3,8,0.149182811999999,9,7,0.646458851999996,39,1.50840398799999,91
42,1.98910415999999,120,89.4268078599995,5395,2,1,11,2,4,2,middle,1,female,2,right,2,1160,540,happy,2,m_f_h,middle_female_happy,011_m_f_h_a.jpg,5,0.116031075999999,7,m_f_n,middle_female_neutral,011_m_f_n_a.jpg,6,2,0.0331517359999998,2,4,0.331517359999998,20,1.50840398799999,91
43,2.45322846399999,148,91.7308535119994,5534,2,1,106,4,7,16,young,2,female,2,right,2,1160,540,fear,1,y_f_f,young_female_fear,106_y_f_f_a.jpg,10,0.116031075999999,7,y_f_n,young_female_neutral,106_y_f_n_a.jpg,12,6,0.0828793399999995,5,8,0.745914059999995,45,1.50840398799999,91
44,2.10513523599999,127,94.1509302399994,5680,2,1,16,3,5,3,young,2,male,1,left,1,760,540,fear,1,y_m_f,young_male_fear,016_y_m_f_a.jpg,7,0.116031075999999,7,y_m_n,young_male_neutral,016_y_m_n_a.jpg,9,3,0.0331517359999998,2,5,0.447548435999997,27,1.50840398799999,91
45,2.42007672799999,146,96.2726413439994,5808,2,1,52,2,3,8,middle,1,female,2,right,2,1160,540,fear,1,m_f_f,middle_female_fear,052_m_f_f_a.jpg,4,0.116031075999999,7,m_f_n,middle_female_neutral,052_m_f_n_a.jpg,6,8,0.149182811999999,9,7,0.646458851999996,39,1.50840398799999,91
46,1.79019374399999,108,98.6264145999994,5950,2,1,82,1,2,13,middle,1,male,1,left,1,760,540,happy,2,m_m_h,middle_male_happy,082_m_m_h_a.jpg,2,0.116031075999999,7,m_m_n,middle_male_neutral,082_m_m_n_a.jpg,3,3,0.0331517359999998,2,2,0.132606943999999,8,1.50840398799999,91
