trial_number,trial_time_secs,trial_time_frames,cum_trial_time_secs,cum_trial_time_frames,block_number,run_number,image_number,image_agesexcat_ref,image_agesexemocat_ref,image_number_ref,image_age,image_age_ref,image_sex,image_sex_ref,image_emotion,image_emotion_ref,image_id,image_fullid,target_imagename,mask_imagename,image_pos_ref,location_name,location,location_x,location_y,soa_ref,soa_secs,soa_frames,mask_secs,mask_frames,jitter_ref,jitter_secs,jitter_frames,response_secs,response_frames
1,1.99929984000191,240,1.99929984000191,240,1,1,26,1,1,3,middle,1,male,1,neutral,3,m_m_n,middle_male_neutral,026_m_m_n_a.jpg,026_m_m_n_b.jpg,3,left,1,606.846752220015,540,8,0.149947488000143,18,0.108295408000104,13,3,0.233251648000223,28,1.50780529600144,181
2,1.89100443200181,227,3.89030427200372,467,1,1,32,1,1,4,middle,1,male,1,neutral,3,m_m_n,middle_male_neutral,032_m_m_n_a.jpg,032_m_m_n_b.jpg,3,right,2,1313.15324777998,540,4,0.0416520800000399,5,0.108295408000104,13,3,0.233251648000223,28,1.50780529600144,181
3,2.34084689600224,281,6.23115116800596,748,1,1,7,1,1,1,middle,1,male,1,neutral,3,m_m_n,middle_male_neutral,007_m_m_n_a.jpg,007_m_m_n_b.jpg,3,left,1,606.846752220015,540,6,0.0749737440000717,9,0.108295408000104,13,7,0.649772448000622,78,1.50780529600144,181
4,2.09926483200201,252,8.33041600000797,1000,1,1,19,2,2,3,middle,1,female,2,neutral,3,m_f_n,middle_female_neutral,019_m_f_n_a.jpg,019_m_f_n_b.jpg,6,left,1,606.846752220015,540,8,0.149947488000143,18,0.108295408000104,13,4,0.333216640000319,40,1.50780529600144,181
5,2.10759524800202,253,10.43801124801,1253,1,1,38,1,1,5,middle,1,male,1,neutral,3,m_m_n,middle_male_neutral,038_m_m_n_a.jpg,038_m_m_n_b.jpg,3,left,1,606.846752220015,540,5,0.0499824960000478,6,0.108295408000104,13,5,0.441512048000422,53,1.50780529600144,181
6,2.39082939200229,287,12.8288406400123,1540,1,1,20,4,4,2,young,2,female,2,neutral,3,y_f_n,young_female_neutral,020_y_f_n_a.jpg,020_y_f_n_b.jpg,12,left,1,606.846752220015,540,2,0.0249912480000239,3,0.108295408000104,13,8,0.749737440000717,90,1.50780529600144,181
7,2.31585564800222,278,15.1446962880145,1818,1,1,38,1,1,5,middle,1,male,1,neutral,3,m_m_n,middle_male_neutral,038_m_m_n_a.jpg,038_m_m_n_b.jpg,3,right,2,1313.15324777998,540,5,0.0499824960000478,6,0.108295408000104,13,7,0.649772448000622,78,1.50780529600144,181
8,2.39082939200229,287,17.5355256800168,2105,1,1,14,1,1,2,middle,1,male,1,neutral,3,m_m_n,middle_male_neutral,014_m_m_n_a.jpg,014_m_m_n_b.jpg,3,left,1,606.846752220015,540,2,0.0249912480000239,3,0.108295408000104,13,8,0.749737440000717,90,1.50780529600144,181
9,2.1992298240021,264,19.7347555040189,2369,1,1,25,3,3,4,young,2,male,1,neutral,3,y_m_n,young_male_neutral,025_y_m_n_a.jpg,025_y_m_n_b.jpg,9,left,1,606.846752220015,540,4,0.0416520800000399,5,0.108295408000104,13,6,0.541477040000518,65,1.50780529600144,181
10,1.6744136160016,201,21.4091691200205,2570,1,1,22,4,4,3,young,2,female,2,neutral,3,y_f_n,young_female_neutral,022_y_f_n_a.jpg,022_y_f_n_b.jpg,12,left,1,606.846752220015,540,3,0.0333216640000319,4,0.108295408000104,13,1,0.0249912480000239,3,1.50780529600144,181
11,2.28253398400218,274,23.6917031040227,2844,2,1,6,2,2,1,middle,1,female,2,neutral,3,m_f_n,middle_female_neutral,006_m_f_n_a.jpg,006_m_f_n_b.jpg,6,right,2,1313.15324777998,540,1,0.0166608320000159,2,0.108295408000104,13,7,0.649772448000622,78,1.50780529600144,181
